Arduino,C,Cpp,JavaScript,HTML,CSS,Cs,R,SQL,Python,Java,PHP
#009297,#a0b1c1,#4351a2,#f0cb46,#e56028,#068ed1,#64017b,#0b3dae,#164e9b,#427cad,#0d83be,#a5a9ca
#00929099,#a0b1c699,#43519599,#f0cb4099,#e5602099,#068ec599,#64017099,#0b3da099,#164e9099,#f1d14b99,#e11f2299,#7175aa99
